127.0.0.1 - - [24/Dec/2016:14:08:05 +0100] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Home.jsp HTTP/1.1" 200 5054
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/CSS/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/CSS/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Script/loadmore.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Script/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/CSS/thumbnails.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Immagini/prova.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Immagini/Soddisfazione.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Immagini/48h.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Immagini/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Immagini/core2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Immagini/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:08 +0100] "GET /CoreShirt/Immagini/spedizione.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:09 +0100] "GET /CoreShirt/Immagini/BannerImg1.png HTTP/1.1" 200 393231
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:08:09 +0100] "GET /CoreShirt/Immagini/BannerImg3.png HTTP/1.1" 200 506424
